768805383,0,45,M,3,ensino medio,casado,$60K - $80K,blue,5,1,12691.51,1144.9,42
818770008,0,49,F,5,mestrado,solteiro,menos que $40K,blue,6,1,8256.96,1291.45,33
713982108,0,51,M,3,mestrado,casado,$80K - $120K,blue,4,1,3418.56,1887.72,20
769911858,0,40,F,4,ensino medio,na,menos que $40K,blue,3,4,3313.03,1171.56,20
709106358,0,40,M,3,sem educacao formal,casado,$60K - $80K,blue,5,1,4716.22,816.08,28
713061558,0,44,M,2,mestrado,casado,$40K - $60K,blue,3,1,4010.69,1088.07,24
810347208,0,51,M,4,na,casado,$120K +,gold,6,1,34516.72,1330.87,31
818906208,0,32,M,0,ensino medio,na,$60K - $80K,silver,2,2,29081.49,1538.32,36
710930508,0,37,M,3,sem educacao formal,solteiro,$60K - $80K,blue,5,2,22352.5,1350.14,24
719661558,0,48,M,2,mestrado,solteiro,$80K - $120K,blue,6,3,11656.41,1441.73,32
708790833,0,42,M,5,sem educacao formal,na,$120K +,blue,5,3,6748.4,1201.27,42
710821833,0,65,M,1,na,casado,$40K - $60K,blue,6,2,9095.59,1314.42,26
710599683,0,56,M,1,graduacao,solteiro,$80K - $120K,blue,3,6,11751.09,1539.95,17
816082233,0,35,M,3,mestrado,na,$60K - $80K,blue,5,1,8547.74,1311.48,33
712396908,0,57,F,2,mestrado,casado,menos que $40K,blue,5,2,2436.0,1570.23,29
714885258,0,44,M,4,na,na,$80K - $120K,blue,5,1,4234.96,1348.1,27
709967358,0,48,M,4,doutorado,solteiro,$80K - $120K,blue,6,2,30367.57,1671.12,27
753327333,0,41,M,3,na,casado,$80K - $120K,blue,4,4,13535.91,1028.75,21
806160108,0,61,M,1,ensino medio,casado,$40K - $60K,blue,2,2,3193.51,1336.54,30
709327383,0,45,F,2,mestrado,casado,na,blue,6,1,14470.78,1207.79,21
806165208,0,47,M,1,doutorado,divorciado,$60K - $80K,blue,5,2,20979.05,1178.72,27
708508758,1,62,F,0,mestrado,casado,menos que $40K,blue,2,3,1438.73,692.25,16
784725333,0,41,M,3,ensino medio,casado,$40K - $60K,blue,4,2,4470.45,931.04,18
811604133,0,47,F,4,na,solteiro,menos que $40K,blue,3,3,2492.08,1126.97,23
789124683,0,54,M,2,na,casado,$80K - $120K,blue,4,2,12217.38,1110.07,21
771071958,0,41,F,3,mestrado,solteiro,menos que $40K,blue,6,1,7768.43,1052.0,22
720466383,0,59,M,1,ensino medio,na,$40K - $60K,blue,4,1,14784.12,1197.92,23
804424383,0,63,M,1,na,casado,$60K - $80K,blue,3,3,10215.26,1904.01,40
718813833,0,44,F,3,sem educacao formal,solteiro,na,blue,5,2,10100.66,1052.46,18
806624208,0,47,M,4,ensino medio,casado,$40K - $60K,blue,6,0,4785.24,1045.67,38
778348233,0,53,M,3,na,casado,$80K - $120K,blue,3,2,2753.96,1038.8,25
712991808,0,53,M,2,sem educacao formal,casado,$60K - $80K,blue,2,5,2451.4,1596.34,26
709029408,0,41,M,4,mestrado,casado,$60K - $80K,blue,4,1,8923.23,1589.11,24
788658483,0,53,F,2,graduacao,casado,menos que $40K,blue,5,2,2650.38,1411.63,28
787937058,0,58,M,0,mestrado,casado,$80K - $120K,blue,6,2,12555.16,1291.68,24
715318008,0,55,F,1,graduacao,solteiro,menos que $40K,blue,4,2,3520.61,1407.71,43
